Date,Day,Time_Slot,In_Delta,Out_Delta,Visit_Count,Floating_Population,Unique_Total
2026.4.6,Monday,13:40,0,1,1,11,157
2026.4.6,Monday,13:41,0,1,1,6,161
2026.4.6,Monday,13:42,1,2,3,3,163
2026.4.6,Monday,13:43,0,0,0,8,170
2026.4.6,Monday,13:44,0,0,0,8,176
2026.4.6,Monday,13:45,0,0,0,5,179
2026.4.6,Monday,13:46,0,0,0,5,182
2026.4.6,Monday,13:47,0,0,0,6,185
2026.4.6,Monday,13:48,3,4,7,9,193
2026.4.6,Monday,13:49,1,2,3,13,201
2026.4.6,Monday,13:50,0,0,0,5,204
2026.4.6,Monday,13:51,0,0,0,6,208
2026.4.6,Monday,13:52,0,1,1,4,211
2026.4.6,Monday,13:53,0,1,1,4,214
2026.4.6,Monday,13:54,0,0,0,7,219
2026.4.6,Monday,13:55,1,5,6,8,223
2026.4.6,Monday,10:12,0,2,2,11,11
2026.4.6,Monday,10:13,0,2,2,11,17
2026.4.6,Monday,10:14,0,0,0,10,21
2026.4.6,Monday,10:15,0,1,1,15,31
2026.4.6,Monday,10:16,1,5,6,15,39
2026.4.6,Monday,10:17,2,4,6,10,45
2026.4.6,Monday,10:18,0,5,5,13,53
2026.4.6,Monday,10:19,1,1,2,17,63
2026.4.6,Monday,10:20,1,1,2,13,67
2026.4.6,Monday,10:21,0,0,0,15,76
2026.4.6,Monday,10:22,1,0,1,13,83
2026.4.6,Monday,10:23,0,0,0,13,89
2026.4.6,Monday,10:24,3,2,5,13,95
2026.4.6,Monday,10:25,0,1,1,9,98
2026.4.6,Monday,10:26,2,2,4,11,104
2026.4.6,Monday,10:27,0,0,0,11,110
2026.4.6,Monday,10:28,1,2,3,10,116
2026.4.6,Monday,10:29,1,0,1,8,121
2026.4.6,Monday,10:30,0,0,0,7,125
2026.4.6,Monday,10:31,0,0,0,9,133
2026.4.6,Monday,10:32,0,2,2,8,136
2026.4.6,Monday,10:33,1,1,2,9,142
2026.4.6,Monday,10:34,0,0,0,3,144
2026.4.6,Monday,10:35,0,0,0,5,148
2026.4.6,Monday,10:36,0,0,0,6,152
2026.4.6,Monday,10:37,0,0,0,8,159
2026.4.6,Monday,10:38,0,0,0,10,165
2026.4.6,Monday,10:39,0,0,0,5,168
2026.4.6,Monday,10:40,0,0,0,3,171
2026.4.6,Monday,10:41,1,1,2,4,175
2026.4.6,Monday,10:42,0,0,0,3,177
2026.4.6,Monday,10:43,2,1,3,4,180
2026.4.6,Monday,10:44,0,1,1,6,186
2026.4.6,Monday,10:45,0,0,0,6,190
2026.4.6,Monday,10:46,2,0,2,6,192
2026.4.6,Monday,10:47,1,0,1,6,196
2026.4.6,Monday,10:48,2,0,2,9,203
2026.4.6,Monday,10:49,0,0,0,4,206
2026.4.6,Monday,10:50,0,1,1,3,208
2026.4.6,Monday,16:21,7,5,12,10,10
2026.4.6,Monday,16:22,10,11,21,11,17
2026.4.6,Monday,16:23,6,6,12,11,21
2026.4.6,Monday,16:24,16,12,28,16,33
2026.4.6,Monday,16:25,10,6,16,11,36
